tmdb_id,imdb_id,title,release_date,language,rating_tmdb,rating_imdb,votes_imdb,revenue,director,cast,release_year
477492,tt1810551,Canvas,21-05-2010,ml,0,4.1,9,0,Shaji Rajasekharan,"Kalabhavan Mani, Kannan, Vidya, Jagathy Sreekumar, Salim Kumar",2010
477813,tt7438916,The Farm: En Veettu Thottathil,28-09-2017,ta,0,7.4,194,0,Karthik Shamalan,"Jaya Ganason, Mohana Raj, Mahessan Poobalan, K. S. Maniam, Yugendran Maniam",2017
478473,tt7822440,Kaali,18-05-2018,ta,5.5,7.6,4177,0,Kiruthiga Udhayanidhi,"Vijay Antony, Sunaina, Anjali, Amritha Aiyer, Shilpa Manjunath",2018
478747,tt7268732,Mahanubhavudu,29-09-2017,te,5.769,6.4,1251,0,Maruthi Dasari,"Sharwanand, Mehreen Pirzada, Vennela Kishore, Nassar, Raghu Babu",2017
479476,tt6997642,Ribbon,03-11-2017,hi,6.9,6.9,1861,0,Rakhee Sandilya,"Kalki Koechlin, Sumeet Vyas, Kiearra Soni, Purnanand Wandekar, Kalyanee Mulay",2017
479491,tt2302416,Gali Guleiyan,15-03-2018,hi,6.8,7,1493,0,Dipesh Jain,"Manoj Bajpayee, Shahana Goswami, Ranvir Shorey, Neeraj Kabi, Om Singh",2018
479660,tt6553406,Srivalli,15-09-2017,te,0,4.1,83,0,Vijayendra Prasad,Neha Hinge,2017
479918,tt7399470,Qarib Qarib Singlle,10-11-2017,hi,7.015,7.2,11475,0,Tanuja Chandra,"Irrfan Khan, Parvathy Thiruvothu, Neha Dhupia, Luke Kenny, Brijendra Kala",2017
480158,tt7509020,Nimir,26-01-2018,ta,6.3,6.1,505,0,Priyadarshan,"Udhayanidhi Stalin, Namitha Pramod, Parvatii Nair, J. Mahendran, Samuthirakani",2018
480619,tt2613380,Love at first sight,04-11-2008,hi,0,4.7,14,0,Arshad Khan,"Vikas Anand, Sweety Chhabra, Farida Dadi, Raja Duggal, Dinesh Hingoo",2008
480639,tt6672238,Pataki,26-05-2017,kn,4,5.5,204,0,Manju Swaraj,"Ganesh, Ranya Rao, Sai Kumar, Priyanka Thimmesh, Ashish Vidhyarthi",2017
480810,tt7469726,Shaadi Mein Zaroor Aana,10-11-2017,hi,6.892,7.5,19760,0,Ratnaa Sinha,"Rajkummar Rao, Kriti Kharbanda, Navni Parihar, Govind Namdeo, Nayani Dixit",2017
480812,tt6280328,Raju Gari Gadhi 2,13-10-2017,te,4.7,5.3,1071,0,Ohmkar,"Nagarjuna Akkineni, Samantha Ruth Prabhu, Seerat Kapoor, Ashwin Babu, Vennela Kishore",2017
480953,tt2210443,Asuravithu,06-01-2012,ml,3,3.2,139,0,A K Sajan,"Asif Ali, Samvrutha Sunil, Siddique, Maqbool Salmaan, Vijayaraghavan",2012
481050,tt7111822,Raja Meeru Keka,16-06-2017,te,10,5.8,28,0,T. Krishna Kishore,"Revanth, Nandamuri Taraka Ratna, Lasya Manjunath, Noel Sean, RJ Hemant",2017
481441,tt6178546,Bitter,04-11-2016,kn,6.2,7.1,76,0,Arvind Sastry,"Aarcher, Krishi Thapanda, Suraj Gowda, Matangi Prasanna",2016
481738,tt5784852,Tera Intezaar,01-12-2017,hi,2,1.7,375,0,Raajeev Walia,"Arbaaz Khan, Sunny Leone, Arya Babbar, Salil Ankola, Gauahar Khan",2017
482154,tt6471054,Ajji,24-11-2017,hi,6.6,6.8,2008,0,Devashish Makhija,"Sushama Deshpande, Sharvani Suryavanshi, Smita Tambe, Abhishek Banerjee, Sadiya Siddiqui",2017
